problem,response,problem_id,originality_rescaled_factor,effectiveness_rescaled_factor,label
reduce the carbon footprint of office buildings,promote the use of halls as office spaces ruther than single offices to limit the number of temerature controlers,13,2.8,2.7,
reduce the carbon footprint of office buildings,reduce energy comsumption,13,2.4,3.4,
reduce the carbon footprint of office buildings,reduce the production temperatures associated with the production of centain cementious materials,13,3.3,3.3,
reduce the carbon footprint of office buildings,replace any single use item with ones that can be reusable or recycable,13,2.3,2.8,
reduce the carbon footprint of office buildings,should use solar energy on ther roof,13,2.7,3.5,
reduce the carbon footprint of office buildings,solar pannels,13,2.2,3.1,
reduce the carbon footprint of office buildings,stall a scaner at door,13,2.5,1.9,
reduce the carbon footprint of office buildings,to not use the air condition very ofen,13,2.6,2.8,
reduce the carbon footprint of office buildings,use indigionus materials like cow dung ash,13,2.8,1.8,
reduce the carbon footprint of office buildings,use of eco eficient materials,13,2.8,3.5,
reduce the carbon footprint of office buildings,use of re usable cutterly,13,2.5,2.3,
reduce the carbon footprint of office buildings,use of reneweable energy,13,2.0,3.0,
reduce the carbon footprint of office buildings,wasterwater power generation system,13,2.9,3.3,
reduce the environmental impact of air travel,Air travel can instead use high atmosphere zepplin style floatation to carry the craft without burning fuel in the air and using solar to power props instead,14,4.5,4.0,
reduce the environmental impact of air travel,Country-Cross long range (electric) train system (electric from green energy soruce or Nuclear with modern design),14,3.7,4.4,
reduce the environmental impact of air travel,Develop effective catalyst on bad emmision.,14,2.9,2.8,
reduce the environmental impact of air travel,Eletric engines,14,2.9,2.6,
reduce the environmental impact of air travel,Eletric planes,14,1.6,2.1,
reduce the environmental impact of air travel,Encourage the use of public trasportation for short travel distances,14,2.5,2.6,
reduce the environmental impact of air travel,Have two levels for people seatting,14,2.4,2.8,
reduce the environmental impact of air travel,Hidrogen powered planes,14,3.4,2.5,
reduce the environmental impact of air travel,More fuel efficnent engines,14,3.0,3.1,
reduce the environmental impact of air travel,Online meeting than bussiness travels,14,2.6,2.7,
reduce the environmental impact of air travel,Redirect traffic two cities with ground connectios  to other cities (train),14,2.9,3.4,
reduce the environmental impact of air travel,Start making electrical air planes,14,3.2,2.7,
reduce the environmental impact of air travel,ban single use plastic bags and bottels during travel,14,2.4,2.1,
reduce the environmental impact of air travel,better waste managment,14,1.9,2.3,
reduce the environmental impact of air travel,create an biofuel that can be less pollutant than diesel.,14,3.3,2.7,
reduce the environmental impact of air travel,design electronic aircrafts instead of useing fu,14,3.1,1.9,
reduce the environmental impact of air travel,develop a different type of fuel that is less poluting,14,3.2,3.2,
reduce the environmental impact of air travel,develop aircraft that could run on compress natural gas CNG,14,3.2,2.6,
reduce the environmental impact of air travel,develop better fuels which release less harmful emmisions,14,3.1,3.1,
reduce the environmental impact of air travel,efficient airport desighn,14,2.4,2.3,
reduce the environmental impact of air travel,electric populsion,14,2.7,2.4,
reduce the environmental impact of air travel,incentivazing travel on train and bus inside the same country or even other countrys that are near. Making it more accessible by land than by air,14,3.5,4.1,
reduce the environmental impact of air travel,increase vehicle poution restrictions,14,2.3,2.6,
reduce the environmental impact of air travel,invest in emissions offests,14,2.2,2.2,
reduce the environmental impact of air travel,lighter plane mateirals,14,2.6,2.8,
reduce the environmental impact of air travel,make more efficiente engines,14,2.4,3.1,
reduce the environmental impact of air travel,make routes that interfere the less posible with native animals,14,2.5,2.8,
reduce the environmental impact of air travel,optimization of airport locations within countries and continetns,14,2.7,2.9,
reduce the environmental impact of air travel,"plant ""x"" trees per flight to compensate for carbon emitions",14,2.7,3.2,
reduce the environmental impact of air travel,produce more reliable airplanes than the ones thar already exists,14,2.4,3.1,
reduce the environmental impact of air travel,reduced weigth,14,2.2,2.6,
reduce the environmental impact of air travel,send laguage by train/lory few day ealrer to save space in plan/reduce weight,14,2.8,3.0,
reduce the environmental impact of air travel,to avoid fiving passengers food that is packed in no-recylable material like plastics,14,2.5,3.0,
reduce the environmental impact of air travel,"use elecricity to instead of gas to run bus, car or even aeroplane",14,2.8,3.0,
reduce the environmental impact of air travel,water driven air trave,14,2.9,2.1,
reduce the environmental impact of air travel,weigth passangers and make it impact the cost of ticket,14,3.2,2.6,
reduce the risk of accidents caused by distracted driving,Ai cameras,15,3.3,2.5,
reduce the risk of accidents caused by distracted driving,Ai cars,15,2.6,2.3,
reduce the risk of accidents caused by distracted driving,Artificial inteligence algorithm the keeps the car in line when it detects to many disturcance on the wheel,15,3.7,3.9,
reduce the risk of accidents caused by distracted driving,Compatable features in the vehicles to avoid the driver from being distructed,15,2.5,3.1,
reduce the risk of accidents caused by distracted driving,EM blocking cars that make any phone inside unable to recieve or make calls,15,3.7,3.0,
reduce the risk of accidents caused by distracted driving,Educate people on psycological aspects of what causes distrcation during driving.,15,2.9,3.4,
reduce the risk of accidents caused by distracted driving,Focus alert when not looking infront of you or your mirrors,15,3.0,2.7,
reduce the risk of accidents caused by distracted driving,Increase of visual light sings on highways,15,3.2,2.8,
reduce the risk of accidents caused by distracted driving,Increase the fines of mobile usage while diriving,15,2.6,3.0,
reduce the risk of accidents caused by distracted driving,"Make car piloting a combination of AI and user inputs, each being a coeeficient of the car control, in order to eliminate impact from user actions",15,3.4,4.4,
reduce the risk of accidents caused by distracted driving,Sensors to cut the engine when the driver appears to be distructed,15,3.2,3.0,
reduce the risk of accidents caused by distracted driving,Visual Augmented Rreality enhanced vision,15,3.5,3.1,
reduce the risk of accidents caused by distracted driving,allow voice answering system for driver to just answer the phone via voice  recocnition,15,2.7,3.3,
reduce the risk of accidents caused by distracted driving,auto stop if not paying atention,15,3.0,2.9,
reduce the risk of accidents caused by distracted driving,better engineered cars that reduce the likelyhood of injury when accidents do happen,15,2.6,3.0,
reduce the risk of accidents caused by distracted driving,better surveilance over people irresponsible driving,15,2.8,3.5,
reduce the risk of accidents caused by distracted driving,build cars that have automated brake system incase they are too close to other cars of objects along the road,15,3.8,3.7,
reduce the risk of accidents caused by distracted driving,bumps of edge of lanes,15,2.6,2.6,
reduce the risk of accidents caused by distracted driving,car indicators to make you pay atention,15,2.6,3.0,
reduce the risk of accidents caused by distracted driving,certain buttons and functions dont work when car is movin,15,3.2,2.6,
reduce the risk of accidents caused by distracted driving,develope more AI based sistems installed on the cars to avoid accidents,15,2.9,3.9,
reduce the risk of accidents caused by distracted driving,efficient routs for the public transportation,15,2.3,2.5,
reduce the risk of accidents caused by distracted driving,eye monitoing system,15,3.5,3.1,
reduce the risk of accidents caused by distracted driving,focus sound alterts,15,3.3,2.3,
reduce the risk of accidents caused by distracted driving,gadget that prevents people form using cell phone,15,3.3,2.9,
reduce the risk of accidents caused by distracted driving,glasses to look straightfoward,15,3.3,2.2,
reduce the risk of accidents caused by distracted driving,improve car safety tecnology on accidents impact,15,3.2,3.9,
reduce the risk of accidents caused by distracted driving,increase the amount of fines given to those who drive carelesly,15,2.5,3.2,
reduce the risk of accidents caused by distracted driving,interconectivity between cars,15,3.7,2.5,
reduce the risk of accidents caused by distracted driving,introduce car sensors for passing car to detact if the drives focus in on the road,15,3.0,3.1,
reduce the risk of accidents caused by distracted driving,keeping yout distance with the cars near you,15,1.8,3.5,
reduce the risk of accidents caused by distracted driving,less car dependant city infrestructure,15,2.6,2.5,
reduce the risk of accidents caused by distracted driving,more rough santions if you are using your celular while driving,15,2.7,3.2,
reduce the risk of accidents caused by distracted driving,priximity sensors on the sides of the cart,15,3.3,3.5,
reduce the risk of accidents caused by distracted driving,put advertisments for cars at traffic lights,15,2.4,2.4,
reduce the risk of accidents caused by distracted driving,removin big screens in cars,15,2.6,2.9,
reduce the risk of accidents caused by distracted driving,road bumps to alert driv,15,2.6,1.7,
reduce the risk of accidents caused by distracted driving,safety campaings,15,2.4,2.4,
reduce the risk of accidents caused by distracted driving,"sensors around the car that observe the situation and in case of danger or as a warning send info to the driver as uncomfortable haptic feedbck (vibrating steering wheel, pedals, seat etc)",15,3.8,4.0,
reduce the risk of accidents caused by distracted driving,sink car to phone so that it detects when the driver is driving and doesnt allow the screen to switch on,15,3.8,3.2,
reduce the risk of accidents caused by distracted driving,steering wheel sensors that mesure when the driver does not have both hands on wheel,15,3.0,3.7,
reduce the risk of accidents caused by distracted driving,touch pad on the steeering,15,2.8,2.5,
reduce the risk of accidents caused by distracted driving,train based city infraestructure,15,2.2,2.1,
reduce traffic congestion in mega cities,Autonomous Air Taxis,16,3.1,1.9,
reduce traffic congestion in mega cities,Building new roads on a cheaper bugdet  to allow,16,2.4,3.0,
reduce traffic congestion in mega cities,Develop in infrastructure for public transporation,16,2.9,3.2,
reduce traffic congestion in mega cities,Develope better public transport that reduces the amount of cars on the road. Better train and bus systems.,16,2.9,4.4,
reduce traffic congestion in mega cities,Diffrent work times,16,2.4,3.2,
reduce traffic congestion in mega cities,Free self-used public transport (escooters),16,2.7,3.2,
reduce traffic congestion in mega cities,Have corporations offer housing to empolyees near their offices.,16,3.6,3.5,
reduce traffic congestion in mega cities,"Having varying speeds can increase congestion, introduce minimun and maximum speeds which have only a difference of 10km/h",16,3.1,3.8,
reduce traffic congestion in mega cities,Improve public transportation service quality efficieny,16,3.0,3.6,
reduce traffic congestion in mega cities,Make traffic lighst communicate with each other,16,2.6,3.4,
reduce traffic congestion in mega cities,Motivize working form home.,16,2.4,3.0,
reduce traffic congestion in mega cities,Overpass/undepass,16,2.9,2.8,
reduce traffic congestion in mega cities,Publci transpor,16,2.0,3.6,
reduce traffic congestion in mega cities,Walk able cities,16,2.3,2.9,
reduce traffic congestion in mega cities,a highspeed underground metrotunnel,16,3.3,4.1,
reduce traffic congestion in mega cities,add a round about for traffic flow,16,2.5,3.3,
reduce traffic congestion in mega cities,auto pilot,16,2.1,2.1,
reduce traffic congestion in mega cities,bicicles roads,16,2.4,3.1,
reduce traffic congestion in mega cities,built the infrastucture for better movility in the city,16,2.9,3.7,
reduce traffic congestion in mega cities,buses more accesible,16,2.5,4.2,
reduce traffic congestion in mega cities,bycicle culture,16,2.4,3.3,
reduce traffic congestion in mega cities,cable cars for some specific areas prone to bottle necks,16,2.7,3.1,
reduce traffic congestion in mega cities,car vibrated when it get too close to other car when drvinging at high speed,16,3.1,2.4,
reduce traffic congestion in mega cities,create better free parking spaces so that people dont park on sides of the road,16,2.8,2.6,
reduce traffic congestion in mega cities,create big enough roads fpr effective traffic flow,16,2.7,3.4,
reduce traffic congestion in mega cities,create studies of the amount of people moving inside the city and wher,16,2.7,3.4,
reduce traffic congestion in mega cities,creating bicycle lanes for bicyles,16,2.5,3.7,
reduce traffic congestion in mega cities,culture of bicicles,16,2.2,3.4,
reduce traffic congestion in mega cities,efficient metro routs,16,2.6,3.3,
reduce traffic congestion in mega cities,encourage use of bycyles for short destinations,16,2.4,3.8,
reduce traffic congestion in mega cities,goverment funded transport,16,2.3,3.3,
reduce traffic congestion in mega cities,increasing the prices of etolls/tollgates,16,2.8,2.4,
reduce traffic congestion in mega cities,introduce train servoces,16,2.2,3.2,
reduce traffic congestion in mega cities,mainteinance of roads,16,2.3,3.3,
reduce traffic congestion in mega cities,make it so that smaller cars are more polular,16,2.8,2.3,
reduce traffic congestion in mega cities,manditory distance maintainers for cars (lasers),16,2.5,2.8,
reduce traffic congestion in mega cities,more accesable public transit,16,2.6,3.6,
reduce traffic congestion in mega cities,more acess to highways,16,2.3,3.2,
reduce traffic congestion in mega cities,more acess to main roads,16,2.0,3.0,
reduce traffic congestion in mega cities,more eficient public transportation,16,2.6,3.5,
reduce traffic congestion in mega cities,more transportat,16,2.3,2.8,
reduce traffic congestion in mega cities,"provide effficient routes of metro, bus, train",16,2.7,4.2,
reduce traffic congestion in mega cities,reduce redundacy in streets and designs,16,1.8,2.5,
reduce traffic congestion in mega cities,roads for bycicle only,16,2.5,3.6,
reduce traffic congestion in mega cities,safe enviroment in public transport,16,2.4,4.4,
reduce traffic congestion in mega cities,sincronization of traffic lights,16,2.4,2.7,
reduce traffic congestion in mega cities,smart traffic managment system,16,3.2,3.5,
reduce traffic congestion in mega cities,trafic signal synchronizations,16,2.7,3.2,
reduce traffic congestion in mega cities,try to incetive the populationto use public transportation such as free public transports,16,3.2,4.1,
reduce traffic congestion in mega cities,"utilize more underground roads or tunnels, for more diverse deslocation",16,3.1,3.6,
